cbsa,cbsaname,zil_deval_blk50_3,kfr_black_pooled_p25,racialanimus,dis,zil_deval_blk50_1,pop2012_2016,black2012_2016,pct_black2012_2016,rank_pop
31340,"Lynchburg, VA",-.8122008,32.13,70.165,.3813926,-.6207727,258062,44289,17.2,182
40380,"Rochester, NY",-.6496287,31.16,71.14078,.6086543,-.891651,1082226,124911,11.5,51
37900,"Peoria, IL",-.5640724,30.31,42.12304,.6881993,-.8256509,379241,34462,9.1,137
31900,"Mansfield, OH",-.4993623,29.64,83.96349,.5952737,-.0418105,121888,9194,7.5,292
38940,"Port St. Lucie, FL",-.4738977,32.44,63.81447,.4146295,-.8009038,446728,65779,14.7,114
27260,"Jacksonville, FL",-.4717281,31.26,59.14985,.510684,-.6820261,1424097,304877,21.4,40
23060,"Fort Wayne, IN",-.4668795,30.66,63.10918,.5725206,-.8186483,426755,42499,10,124
36540,"Omaha-Council Bluffs, NE-IA",-.4350955,31.88,48.3714,.5842623,-.6666377,904834,69570,7.7,59
46140,"Tulsa, OK",-.3985226,32.68,40.59422,.5065167,-.5709023,970603,76645,7.9,55
13820,"Birmingham-Hoover, AL",-.3917372,31.98,65.31517,.6307577,-.5419083,1141309,326204,28.6,49
15980,"Cape Coral-Fort Myers, FL",-.3754234,32.92,59.28164,.5576466,-.9106413,680970,58757,8.6,80
19820,"Detroit-Warren-Dearborn, MI",-.3694356,31.2,68.44392,.7215204,-.7030889,4296731,962627,22.4,14
40420,"Rockford, IL",-.3641014,29.01,71.69108,.5098127,-.9711774,342552,37269,10.9,148
33340,"Milwaukee-Waukesha-West Allis, WI",-.3430256,30.84,70.47348,.7670404,-.5144589,1571730,260776,16.6,39
16860,"Chattanooga, TN-GA",-.3298986,30.84,70.58527,.6142772,-.3311484,544522,74793,13.7,99
48900,"Wilmington, NC",-.3263263,31.06,79.53162,.4396505,-.272167,272788,39808,14.6,172
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",-.3234555,31.16,76.01533,.6830066,-.5850872,1135503,138633,12.2,50
14860,"Bridgeport-Stamford-Norwalk, CT",-.3205418,35.24,65.44608,.5689855,-.9522482,941618,107282,11.4,57
45940,"Trenton, NJ",-.3070061,35.24,77.93181,.5454922,-.754088,371101,75905,20.5,142
19660,"Deltona-Daytona Beach-Ormond Beach, FL",-.3058097,30.15,63.92735,.4420173,-.4309581,613723,65165,10.6,89
12060,"Atlanta-Sandy Springs-Roswell, GA",-.2978778,31.52,62.15132,.5351596,-.3810236,5612777,1878072,33.5,9
26620,"Huntsville, AL",-.294984,31.16,65.30715,.4578512,-.3930838,440230,96159,21.8,119
41180,"St. Louis, MO-IL",-.2840212,31.11,70.88334,.700155,-.3940971,2803449,512913,18.3,19
19100,"Dallas-Fort Worth-Arlington, TX",-.2837807,32.49,50.61456,.4749192,-.4235386,6957123,1063621,15.3,4
16980,"Chicago-Naperville-Elgin, IL-IN-WI",-.2801143,31.2,63.11608,.715078,-.4208978,9528396,1606204,16.9,3
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",-.2785877,32.77,77.66316,.6120772,-.480798,6047721,1266040,20.9,6
26420,"Houston-The Woodlands-Sugar Land, TX",-.2763738,34.06,51.25509,.4734029,-.3251757,6482592,1114979,17.2,5
41860,"San Francisco-Oakland-Hayward, CA",-.2713226,33.47,47.63998,.5024323,-.6414366,4577530,349339,7.6,11
31140,"Louisville/Jefferson County, KY-IN",-.270974,31.6,71.63773,.5646601,-.4817486,1269550,178387,14.1,43
43780,"South Bend-Mishawaka, IN-MI",-.2507617,31.52,50.47462,.4996408,-.6384197,319491,37122,11.6,153
24340,"Grand Rapids-Wyoming, MI",-.2414929,29.64,59.49358,.6142979,-.5208385,1028173,66356,6.5,52
42340,"Savannah, GA",-.2346288,31.69,74.17285,.4576724,.0051724,372569,124999,33.6,141
11700,"Asheville, NC",-.2344922,31.06,71.65181,.5112703,.4039046,441724,20245,4.6,117
19380,"Dayton, OH",-.2328544,30.76,55.77455,.6385616,-.6507797,800950,123845,15.5,71
32820,"Memphis, TN-MS-AR",-.225942,29.9,64.67779,.5672785,-.4617844,1341339,625113,46.6,41
10420,"Akron, OH",-.2228712,30.4,83.96349,.565243,-.6293079,703168,84285,12,78
25420,"Harrisburg-Carlisle, PA",-.2184258,31.11,54.87396,.6063048,-.6383763,561447,58916,10.5,95
28940,"Knoxville, TN",-.2169693,29.64,75.16566,.578741,-.4659355,857111,49747,5.8,65
40220,"Roanoke, VA",-.2113744,31.82,70.165,.529712,-.3992262,312891,41083,13.1,158
18140,"Columbus, OH",-.2105775,31.69,75.68853,.5993677,-.3518933,1995004,296212,14.8,32
35380,"New Orleans-Metairie, LA",-.2080179,33.22,61.94028,.6000335,-.168787,1250247,436558,34.9,45
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",-.2048047,34.89,42.31821,.5098063,-.3481013,3488436,270924,7.8,16
28140,"Kansas City, MO-KS",-.2031835,32.96,55.29807,.5617157,-.5060869,2070147,258859,12.5,30
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",-.2030123,34.18,59.66597,.5975095,-.3486392,5926955,1269852,21.4,8
17460,"Cleveland-Elyria, OH",-.2025495,30.4,83.96349,.7034032,-.4001355,2061630,412837,20,31
12580,"Baltimore-Columbia-Towson, MD",-.1882367,33.07,57.27621,.6060583,-.3643056,2780873,806346,29,20
34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",-.1812834,31.92,94.48357,.4003786,-.434319,419585,53887,12.8,125
26900,"Indianapolis-Carmel-Anderson, IN",-.1761145,31.35,59.91072,.6124541,-.2759644,1968768,293037,14.9,33
25060,"Gulfport-Biloxi-Pascagoula, MS",-.1740538,31.82,98.02093,.4160578,-.2632521,385448,82286,21.3,135
31080,"Los Angeles-Long Beach-Anaheim, CA",-.170855,32.68,64.38783,.5553852,-.3737813,13189366,882832,6.7,2
40060,"Richmond, VA",-.1700794,32.68,46.89878,.4929809,-.2663731,1258158,376247,29.9,44
12940,"Baton Rouge, LA",-.169147,33.47,70.86852,.5330871,-.114501,824667,292728,35.5,70
22520,"Florence-Muscle Shoals, AL",-.1683007,32.87,65.30715,.3677915,-.2624733,147018,17658,12,270
45780,"Toledo, OH",-.1614982,30.56,75.44421,.5897014,-.4515184,606684,86967,14.3,91
34940,"Naples-Immokalee-Marco Island, FL",-.1546393,32.92,59.28164,.4775479,-.7883602,348236,24300,7,147
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",-.153611,37.6,51.2258,.548932,-.2697477,6011752,1527439,25.4,7
19460,"Decatur, AL",-.1413871,31.16,65.30715,.5397002,-.2396381,152988,18357,12,257
47260,"Virginia Beach-Norfolk-Newport News, VA-NC",-.1404348,33.57,52.81821,.4500439,-.2680749,1714428,526114,30.7,37
35300,"New Haven-Milford, CT",-.1403608,35.24,63.83946,.5284455,-.6209117,860874,110829,12.9,64
12100,"Atlantic City-Hammonton, NJ",-.1391941,32.77,77.93181,.5281281,-.2196796,274026,42711,15.6,170
16740,"Charlotte-Concord-Gastonia, NC-SC",-.1327007,31.11,72.99562,.4703881,-.1930892,2381152,529487,22.2,22
30780,"Little Rock-North Little Rock-Conway, AR",-.129928,31.35,61.6727,.5388572,-.3163662,727371,166388,22.9,76
20500,"Durham-Chapel Hill, NC",-.1251465,31.77,60.63095,.4073918,-.2645594,542399,145556,26.8,101
11460,"Ann Arbor, MI",-.1244894,31.2,68.44392,.5359072,-.4495151,358082,42970,12,146
19340,"Davenport-Moline-Rock Island, IA-IL",-.1208526,31.88,52.56918,.4834989,-.3540394,383304,28315,7.4,136
47940,"Waterloo-Cedar Falls, IA",-.1194076,32.68,44.14103,.61612,-.542612,169857,12085,7.1,234
38300,"Pittsburgh, PA",-.115617,31.98,76.07628,.6532386,-.2205351,2354926,192647,8.2,23
34620,"Muncie, IN",-.1136509,30.31,59.91072,.5364336,-.167178,116463,7124,6.1,296
41540,"Salisbury, MD-DE",-.1095662,33.07,58.97939,.4068899,-.553172,390091,69322,17.8,134
39580,"Raleigh, NC",-.1081925,31.77,60.63095,.3851526,-.3570127,1243720,249748,20.1,46
17900,"Columbia, SC",-.1016367,32.38,68.04156,.47422,-.1728705,800559,266113,33.2,72
24660,"Greensboro-High Point, NC",-.0983455,31.01,67.90855,.4778328,-.2268493,746301,197630,26.5,74
35620,"New York-Newark-Jersey City, NY-NJ-PA",-.0976531,37.6,65.44608,.6397454,-.1923045,20031443,3427574,17.1,1
43340,"Shreveport-Bossier City, LA",-.0952758,32.29,79.4286,.5437993,-.2993063,445227,173920,39.1,115
36740,"Orlando-Kissimmee-Sanford, FL",-.0909349,31.77,63.92735,.4414498,-.2934992,2328508,380326,16.3,26
25860,"Hickory-Lenoir-Morganton, NC",-.0888942,30.4,72.99562,.3950845,-.1557713,363377,24927,6.9,143
17140,"Cincinnati, OH-KY-IN",-.0874906,30.15,71.83718,.6550142,-.084244,2146410,262757,12.2,28
43900,"Spartanburg, SC",-.0844302,31.46,71.65181,.3847867,-.1638427,322157,69422,21.5,152
29460,"Lakeland-Winter Haven, FL",-.0766556,30.76,68.7194,.4000083,-.0567963,637691,96445,15.1,85
29820,"Las Vegas-Henderson-Paradise, NV",-.0659906,31.35,63.47506,.3147497,-.3450698,2070153,228502,11,29
11100,"Amarillo, TX",-.0640043,32.44,73.54095,.4976303,-.438576,260495,15362,5.9,180
37460,"Panama City, FL",-.0610875,32.38,65.16012,.4437785,-.4783565,194212,22136,11.4,218
